,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,weights_filename,time
10,EmployeeBee,0.0,-,2.0,input|batch_norm|sep3x3_16|batch_norm|sep3x3_16|output,0.5889000296592712,0.5889000296592712,5.0,871ebe784122ac2f589fd85daf37691ce0c30c9f.h5,521.2864289283752
11,EmployeeBee,1.0,-,2.0,input|dropout|sep5x5_32|batch_norm|sep5x5_16|output,0.5248000025749207,0.5248000025749207,5.0,430dd35aa21d724271f8adfa0a8fd2a24da3e255.h5,550.4335281848907
12,OnlookerBee,0.0,0,2.0,input|avg_pool3x3|sep3x3_16|batch_norm|sep3x3_16|output,0.57669997215271,0.5889000296592712,5.0,2e87a74a370bdcc2115078118d2be8f54775eb9a.h5,562.8515825271606
13,OnlookerBee,1.0,0,2.0,input|batch_norm|sep3x3_16|avg_pool3x3|sep3x3_16|output,0.6276999711990356,0.6276999711990356,5.0,88046a81c2921b2d6adc9d0f24ae1c9cd688d7be.h5,526.4335703849792
14,OnlookerBee,2.0,0,2.0,input|batch_norm|sep3x3_16|avg_pool3x3|sep3x3_32|output,0.6241999864578247,0.6276999711990356,5.0,ceb6863f31ef6141d37b35c75bcd6223687b52f7.h5,569.1018991470337
15,EmployeeBee,0.0,-,3.0,input|sep5x5_8|max_pool3x3|avg_pool3x3|sep3x3_8|output,0.5892999768257141,0.5892999768257141,5.0,0af180fea51d901f8f151a28ec60977c56ab73ce.h5,478.13781237602234
16,EmployeeBee,1.0,-,3.0,input|dropout|sep5x5_32|sep3x3_16|sep5x5_16|output,0.5957000255584717,0.5957000255584717,5.0,e42775dcf5a8d8b6128edcc3725ab96e51800af3.h5,575.317709684372
17,OnlookerBee,0.0,0,3.0,input|dropout|max_pool3x3|avg_pool3x3|sep3x3_8|output,0.5863999724388123,0.5892999768257141,5.0,8b671f342abea0871a7526dce737e8f8528c509f.h5,523.9075584411621
18,OnlookerBee,1.0,1,3.0,input|sep5x5_8|sep5x5_32|sep3x3_16|sep5x5_16|output,0.5644000172615051,0.5957000255584717,5.0,a05238928751863c86145a82530f477b0da0f9ac.h5,598.0407702922821
19,OnlookerBee,2.0,1,3.0,input|dropout|sep5x5_32|sep3x3_16|sep3x3_32|output,0.5763999819755554,0.5957000255584717,5.0,484e63440cefec8d6485fd4db2150526c20a0b04.h5,572.5282371044159
20,EmployeeBee,0.0,-,4.0,input|sep5x5_8|max_pool3x3|sep5x5_32|sep3x3_8|output,0.6132000088691711,0.6132000088691711,5.0,5c02924ac6bc2414d8162f216e56b0104cba0931.h5,507.3011634349823
