,bee_type,bee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time
78,EmployeeBee,1.0,-,11.0,input|sep3x3_32|sep3x3_32|sep5x5_64|batch_norm|avg_pool3x3|output,0.1451999992132187,0.1451999992132187,1.0,59520042.0,46c6c184a16c655336fef136d9bf445187b25a7b.h5,77.94300103187561
79,EmployeeBee,2.0,-,11.0,input|sep3x3_128|dropout|sep3x3_64|sep5x5_64|sep5x5_128|output,0.6169000267982483,0.6758999824523926,4.0,118526314.0,f26ad84da1245bdfead55cc85286de751342d181.h5,338.9666438102722
80,OnlookerBee,0.0,2,11.0,input|batch_norm|dropout|sep5x5_64|sep5x5_64|sep5x5_128|output,0.6769000291824341,0.6769000291824341,5.0,118515370.0,caf8638f81e3d14f1b0238d8cb1c39da55007b8b.h5,412.028977394104
81,OnlookerBee,1.0,2,11.0,input|sep3x3_32|dropout|sep5x5_64|sep5x5_64|sep5x5_128|output,0.593500018119812,0.6769000291824341,4.0,118516650.0,4ff96cc547821080c0c2403a43aa7440b43a7256.h5,332.19462847709656
82,OnlookerBee,2.0,0,11.0,input|sep5x5_32|sep3x3_128|sep5x5_64|sep3x3_32|sep5x5_128|output,0.10000000149011612,0.10000000149011612,1.0,118522218.0,2f4aa321a74fa5b15e237cdc071b0d730fe0f00d.h5,86.69245052337646
83,OnlookerBee,3.0,0,11.0,input|sep3x3_32|sep3x3_128|sep5x5_64|sep3x3_32|dropout|output,0.5537999868392944,0.5537999868392944,3.0,30043082.0,456eaa9640ddb720fefa3724318dfd074eb68719.h5,236.92998242378235
84,EmployeeBee,0.0,-,12.0,input|max_pool3x3|sep3x3_64|sep5x5_128|sep3x3_32|sep3x3_32|output,0.6312999725341797,0.6312999725341797,4.0,30042058.0,b60f4b541c8005e14e0579539116cd247d162b6b.h5,306.1415753364563
85,EmployeeBee,1.0,-,12.0,input|sep3x3_32|sep3x3_32|sep5x5_64|batch_norm|batch_norm|output,0.10890000313520432,0.1451999992132187,1.0,59520170.0,d0f23ba67b56aee5ab5a5f2f39029c38c5aa0ec5.h5,77.61125874519348
86,EmployeeBee,2.0,-,12.0,input|sep3x3_64|sep3x3_64|sep5x5_64|sep3x3_128|sep5x5_32|output,0.10000000149011612,0.10000000149011612,1.0,30052234.0,e4fcac44283c5ee4c35483e8a4dfb17c6752a366.h5,81.29763507843018
87,OnlookerBee,0.0,2,12.0,input|batch_norm|sep3x3_64|sep5x5_64|sep3x3_128|sep5x5_32|output,0.5501999855041504,0.5501999855041504,3.0,30047562.0,3a181bc1a03f5295bd2e5f5ca1a17b156391fa3b.h5,240.0130422115326
88,OnlookerBee,1.0,2,12.0,input|dropout|sep3x3_64|sep5x5_64|sep3x3_128|sep5x5_32|output,0.10000000149011612,0.5501999855041504,1.0,30047498.0,331a3c1f1c287dbfbb845459f005beedf1e3d48d.h5,80.06028437614441
