,arch,epoch,val_acc,val_loss,train_acc,train_loss,eval_idx,type,bee_id,itr
74,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,5,0.6984,1.2381,0.9111,0.2624,14,EmployeeBee,1,3
75,input|sc_1|dropout|sep5x5_128|max_pool3x3|sep3x3_128|output,1,0.4919,1.4737,0.4398,1.6112,15,EmployeeBee,2,3
76,input|sc_1|dropout|sep5x5_128|max_pool3x3|sep3x3_128|output,2,0.6324,1.0629,0.6251,1.0683,15,EmployeeBee,2,3
77,input|sc_1|dropout|sep5x5_128|max_pool3x3|sep3x3_128|output,3,0.6712,1.028,0.7161,0.8214,15,EmployeeBee,2,3
78,input|sc_1|dropout|sep5x5_128|max_pool3x3|sep3x3_128|output,4,0.6984,1.0173,0.7879,0.6169,15,EmployeeBee,2,3
79,input|sc_1|dropout|sep5x5_128|max_pool3x3|sep3x3_128|output,5,0.6808,1.4254,0.8481,0.4469,15,EmployeeBee,2,3
80,input|sep3x3_256|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,1,0.5367,1.2996,0.409,1.6694,16,OnlookerBee,0,3
81,input|sep3x3_256|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,2,0.6388,1.0394,0.6115,1.1025,16,OnlookerBee,0,3
82,input|sep3x3_256|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,3,0.6605,1.0483,0.7224,0.793,16,OnlookerBee,0,3
83,input|sep3x3_256|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,4,0.6889,0.9708,0.8237,0.5123,16,OnlookerBee,0,3
84,input|sep3x3_256|sep3x3_64|sc_1|sep3x3_64|sc_1|max_pool3x3|output,5,0.6933,1.2205,0.8977,0.2985,16,OnlookerBee,0,3
85,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,1,0.5497,1.2619,0.4102,1.6634,17,OnlookerBee,1,3
86,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,2,0.6181,1.065,0.6095,1.1103,17,OnlookerBee,1,3
87,input|sep3x3_128|sep3x3_64|sc_1|sep3x3_64|sc_1|avg_pool3x3|output,3,0.655,1.0008,0.7152,0.8178,17,OnlookerBee,1,3
