,bee_typebee_id,bee_parent,itr,candidate,fitness,center_fitness,epochs,params,weights_filename,time,bee_id,bee_type
23,,-,3,input|sc_5|avg_pool3x3|sep3x3_128|batch_norm|sc_1|sep3x3_64|sep5x5_32|output,0.33070001006126404,0.6128000020980835,1,30050282,c3d731daf45230e33fd07a30354ec40802a05b36.h5,80.18105053901672,2.0,EmployeeBee
24,,0,3,input|avg_pool3x3|sc_2|sep3x3_32|avg_pool3x3|avg_pool3x3|sc_1|avg_pool3x3|output,0.4352000057697296,0.5331000089645386,2,30026570,51a569454f8d4003c6d9fdcb0d0e62896c77e4f2.h5,150.0700912475586,0.0,OnlookerBee
25,,2,3,input|sc_2|sep3x3_64|sep3x3_128|batch_norm|sc_1|sep3x3_64|sep5x5_32|output,0.5543000102043152,0.6128000020980835,3,30060234,e8d13fe3d2b9ec4dce7ee16b15db979134408a8e.h5,239.72355389595032,1.0,OnlookerBee
26,,1,3,input|sep3x3_128|dropout|sep5x5_32|sep5x5_128|dropout|output,0.10000000149011612,0.5202000141143799,1,118513578,9fcff07b3894e0c5fca16b4a2d985e5acdb3a10c.h5,86.88623261451721,2.0,OnlookerBee
27,,0,3,input|sep3x3_128|sep3x3_32|avg_pool3x3|avg_pool3x3|sc_1|avg_pool3x3|output,0.4681999981403351,0.5331000089645386,2,30033962,8ff7226dddd5b1c7caad4f92f8e176fe35d11421.h5,152.63454937934875,3.0,OnlookerBee
28,,-,4,input|sep3x3_128|sc_1|sep3x3_32|avg_pool3x3|avg_pool3x3|sc_1|avg_pool3x3|output,0.4862000048160553,0.5331000089645386,2,30038090,efae931414ca687bb7545200b9fe7d8955e1bd3e.h5,153.0721561908722,0.0,EmployeeBee
29,,-,4,input|sep3x3_128|dropout|dropout|sep5x5_32|dropout|output,0.44510000944137573,0.5202000141143799,2,30034954,1158ef87b079eb0e387acbd23fdadb262a936eb4.h5,154.7734832763672,1.0,EmployeeBee
30,,-,4,input|batch_norm|sep5x5_128|sep3x3_128|sep5x5_64|sep5x5_128|output,0.10000000149011612,0.10000000149011612,1,118540842,5d7027b64dd28be6f5d1aecde2af786ea498fbbe.h5,144.7320384979248,2.0,EmployeeBee
31,,0,4,input|sep5x5_128|sc_2|sep3x3_32|avg_pool3x3|avg_pool3x3|sc_1|avg_pool3x3|output,0.5133000016212463,0.5331000089645386,3,30038602,569e516c759ec01c015f31c9c90bc8738624e67b.h5,229.60406589508057,0.0,OnlookerBee
32,,0,4,input|sep3x3_128|sc_4|sep3x3_32|avg_pool3x3|avg_pool3x3|sc_1|avg_pool3x3|output,0.5062000155448914,0.5331000089645386,3,30037034,8e10c5e7a4cb207c727194df0843a0ad33cadeac.h5,228.04095840454102,1.0,OnlookerBee
33,,1,4,input|sep5x5_32|dropout|dropout|sep5x5_128|dropout|output,0.43630000948905945,0.5202000141143799,2,118503594,e8573573156c08a1f804ca2e6e74027063cee4ca.h5,164.3619270324707,2.0,OnlookerBee
34,,1,4,input|sep3x3_128|dropout|dropout|batch_norm|dropout|output,0.3382999897003174,0.5202000141143799,1,118501482,e8a051bd8a3ff7756e3eda6fde68f8219801b7e7.h5,82.82085537910461,3.0,OnlookerBee
35,,-,5,input|sep5x5_32|sep3x3_64|sep5x5_32|batch_norm|sc_1|avg_pool3x3|output,0.25760000944137573,0.25760000944137573,1,30032170,00a268060ab86721e9a1b3be625ca763fc51c979.h5,78.14379453659058,0.0,EmployeeBee
36,,-,5,input|dropout|sep3x3_64|max_pool3x3|avg_pool3x3|sep3x3_64|output,0.46140000224113464,0.46140000224113464,2,59521450,a388096be4250f35025fb6319ca4db29ddab3618.h5,155.2788655757904,1.0,EmployeeBee
37,,-,5,input|batch_norm|sep5x5_128|avg_pool3x3|sep5x5_64|sep5x5_128|output,0.6111999750137329,0.6111999750137329,4,118523178,ee72dbb495b94d3fb3f5ef183e5947fcb40c569f.h5,344.02852606773376,2.0,EmployeeBee
